fecha_evento,producto_canonico,proveedor_candidato,year,month,transport_bucket_origin,no_raw_subreason_x,v2_row_count,transport_source_kind,transport_imputed_flag,transport_days_gap,transport_lookahead_flag,source_date_for_transport,no_raw_subreason_y
2021-04-03,PRODUCT_002,SUPPLIER_020,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_061,2017,4,no_raw_source,same_date_product_other_provider_only,9,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_002,SUPPLIER_001,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_003,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_013,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_009,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_023,2017,4,no_raw_source,same_date_product_other_provider_only,9,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_002,SUPPLIER_049,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_054,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_004,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_022,2017,4,no_raw_source,same_date_product_other_provider_only,9,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_002,SUPPLIER_050,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_002,SUPPLIER_053,2017,4,exact_raw_match,,9,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_061,2017,4,no_raw_source,same_date_product_other_provider_only,11,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_003,SUPPLIER_020,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_050,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_013,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_003,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_054,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_049,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_023,2017,4,no_raw_source,same_date_product_other_provider_only,11,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_003,SUPPLIER_004,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_009,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2021-04-03,PRODUCT_003,SUPPLIER_022,2017,4,no_raw_source,same_date_product_other_provider_only,11,missing,0,,0,2021-04-03,same_date_product_other_provider_only
2021-04-03,PRODUCT_003,SUPPLIER_053,2017,4,exact_raw_match,,11,raw_explicit,0,,0,2021-04-03,
2022-01-02,PRODUCT_002,SUPPLIER_050,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_009,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_020,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_049,2018,1,no_raw_source,same_date_product_other_provider_only,4,missing,0,,0,2022-01-02,same_date_product_other_provider_only
2022-01-02,PRODUCT_002,SUPPLIER_018,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_003,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_004,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
2022-01-02,PRODUCT_002,SUPPLIER_033,2018,1,exact_raw_match,,4,raw_explicit,0,,0,2022-01-02,
