fecha_compra,albaran_id,linea_id,producto_canonico,terminal_canonico,proveedor_canonico,litros,terminales_cubiertos,feature_oferta_disponible,dia_semana,mes,fin_mes,blocked_by_rule,block_reason,proveedor_elegido,source_file,source_transform_run_id,marts_run_id,marts_ts_utc,coste_min_dia_proveedor,rank_coste_dia_producto,precio_unitario_idx,importe_total_idx,coste_min_dia_proveedor_idx,rank_coste_dia_producto_idx
2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,22555,3.0,1,0,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.81616,1.0,1.069686,4.383684,1.069686,1.0
2024-01-01,DOC_0000_001,LINE_0000_001,PRODUCT_D,TERM_002,SUPPLIER_03,23517,7.0,1,0,1,0,0,,SUPPLIER_03,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.81645,1.0,1.070066,4.572276,1.070066,1.0
2024-01-01,DOC_0000_002,LINE_0000_002,PRODUCT_B,TERM_009,SUPPLIER_01,27609,5.0,1,0,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.79207,1.0,1.038113,5.207572,1.038113,1.0
2024-01-01,DOC_0000_003,LINE_0000_003,PRODUCT_C,TERM_002,SUPPLIER_02,41024,3.0,1,0,1,0,0,,SUPPLIER_02,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.81922,1.0,1.073697,8.003124,1.073697,1.0
2024-01-02,DOC_0001_000,LINE_0001_000,PRODUCT_D,TERM_005,SUPPLIER_01,36475,4.0,1,1,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.80914,1.0,1.060486,7.028133,1.060486,1.0
2024-01-02,DOC_0001_001,LINE_0001_001,PRODUCT_A,TERM_004,SUPPLIER_01,38051,6.0,1,1,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.78758,1.0,1.032228,7.136444,1.032228,1.0
2024-01-02,DOC_0001_002,LINE_0001_002,PRODUCT_B,TERM_005,SUPPLIER_01,43774,5.0,1,1,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.81277,3.0,1.065243,8.472369,1.065243,3.0
2024-01-02,DOC_0001_003,LINE_0001_003,PRODUCT_C,TERM_010,SUPPLIER_02,8234,5.0,1,1,1,0,0,,SUPPLIER_02,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.82785,2.0,1.085008,1.623244,1.085008,2.0
2024-01-03,DOC_0002_000,LINE_0002_000,PRODUCT_D,TERM_005,SUPPLIER_02,9549,6.0,1,2,1,0,0,,SUPPLIER_02,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.8224,1.0,1.077865,1.870088,1.077865,1.0
2024-01-03,DOC_0002_001,LINE_0002_001,PRODUCT_B,TERM_010,SUPPLIER_01,25950,7.0,1,2,1,0,0,,SUPPLIER_01,synthetic_source.csv,SYNTH_0042,SYNTH_0042,2026-03-02T07:54:05.680683+00:00,0.80177,1.0,1.050826,4.954595,1.050826,1.0
